sector,percent_women_change,percent_white_change,percent_black_or_african_american_change,percent_asian_change,percent_hispanic_or_latino_change,total_shift
"Mining, quarrying, and oil and gas extraction",-0.0012500000000000011,0.008750000000000036,0.004499999999999997,-0.15725,0.06225,0.16941369484194602
Leisure and hospitality,-0.010066666666666613,-0.017866666666666586,0.020133333333333336,0.001266666666666666,0.028266666666666634,0.040330082513621884
Public administration,-0.009999999999999953,-0.01766666666666661,0.02733333333333332,0.00033333333333333826,-0.012555555555555542,0.03629015443122241
Financial activities,-0.006941176470588173,-0.027941176470588247,0.0077647058823529375,0.015235294117647055,0.002941176470588225,0.033614649138109416
"Agriculture, forestry, fishing, and hunting",0.01770000000000005,-0.009533333333333394,0.005700000000000004,-0.0014666666666666682,-0.025366666666666676,0.03289807491834951
Transportation and utilities,0.0036432748538011983,-0.009339181286549647,0.01636549707602339,-0.005687134502923977,0.02155263157894735,0.029413987831317538
Professional and business services,-8.695652173917878e-05,-0.018000000000000016,0.009826086956521748,0.002999999999999989,0.019913043478260894,0.02874176137401654
Information,0.011977272727272725,0.0036590909090908896,-0.01888636363636363,0.010401515151515162,0.00856060606060606,0.02636312260035798
Education and health services,-0.00038461538461531664,-0.01553846153846139,0.009807692307692295,-0.0009230769230769292,0.0,0.01840202748026995
Manufacturing,-0.005169663669663649,-0.008151348651348589,0.009019147519147536,-0.001464701964701956,0.01215684315684315,0.018012471142264567
Wholesale and retail trade,-0.01108839972047515,-0.0038546470999301086,-0.006120545073375269,0.006581761006289308,0.007903214535290026,0.01676461638558966
Construction,-0.001999999999999988,-0.0040000000000000036,0.0040000000000000036,-0.004,0.014000000000000012,0.015748015748023633
Other services,0.0,0.0008571428571428896,0.006952380952380946,-0.006190476190476191,0.012047619047619001,0.01524917751768879
