sector,percent_women,total_employed_in_thousands,gender_imbalance,dominant_ethnic_group,ethnic_dominance,ethnic_diversity_shannon,HHI,cluster,ethnic_cluster
"Agriculture, forestry, fishing, and hunting",0.26956521739130435,789.9130434782609,0.23043478260869565,White,0.9225217391304348,0.5546395242900616,0.8923605708884688,1,1
Construction,0.10925,11435.75,0.39075,White,0.87925,0.7325416087785446,0.8845276875,1,1
Education and health services,0.7421249999999999,4880.432692307692,0.24212499999999992,White,0.7419807692307692,0.9600369313554978,0.599773087370562,0,0
Financial activities,0.4681470588235294,2269.6911764705883,0.031852941176470584,White,0.7828676470588235,0.9040990622060424,0.6516132625432526,0,0
Information,0.4153478260869566,479.95652173913044,0.08465217391304342,White,0.7615,0.926897263855563,0.6147585477315689,0,0
Leisure and hospitality,0.48518032786885246,3213.1803278688526,0.014819672131147543,White,0.7764426229508197,0.9218954639389503,0.6560273270626176,0,0
Manufacturing,0.2895392156862745,772.8137254901961,0.2104607843137255,White,0.8025228758169934,0.894843949379166,0.6919306426054083,0,0
"Mining, quarrying, and oil and gas extraction",0.15117647058823527,276.3529411764706,0.34882352941176475,White,0.8792941176470589,0.755722859445394,0.809986439446367,1,0
Other services,0.4710595238095238,1321.095238095238,0.028940476190476183,White,0.7805119047619048,0.9557139167584108,0.6717004618764174,0,0
Professional and business services,0.4656195652173913,2854.7065217391305,0.034380434782608715,White,0.7724673913043479,0.9403900143851572,0.6455259444706997,0,0
Public administration,0.4673611111111111,1698.3055555555557,0.032638888888888884,White,0.7287777777777777,0.9489868772269945,0.5792078587962961,0,0
Transportation and utilities,0.2455810810810811,1533.8243243243244,0.2544189189189189,White,0.7359594594594594,0.9902997869401687,0.6040213139152666,0,0
Wholesale and retail trade,0.4239906103286385,1092.5070422535211,0.0760093896713615,White,0.807225352112676,0.8761389434092791,0.6969146102184309,0,0
